"id","dpto","muni","URNGcia1999","URNGcia2003","URNGcia2007","URNGcia2011","URNGcia2015","FRG1999","FRG2003","FRG2007","FRG2015","fulldcha1999","fulldcha2003","fulldcha2007","fulldcha2011","fulldcha2015","fullizq1999","fullizq2003","fullizq2007","fullizq2011","fullizq2015","pop73","ind73","lit73","govt_vi","ceh_govt_vi","rebels_vi","rebels_vi_pre78","elev_sd","elev_mean","elev_max","forest","coffee_yield","roads_all","roads_paved","roads_paths","roads_paved_sh","area","dist_guate","dist_panam","govt_vi_l","ceh_govt_vi_l","rebels_vi_l","rebels_vi_pre78_l","lpop73","larea","ldist_guate","ldist_panam","roads_dirt_sh"
"11-10","Jutiapa","Jutiapa",0.040959658388583,0.00683279742765273,0.00799096673325806,0.00787993623868387,0.0162518256113856,0.61917069333633,0.156924666972898,0.0422565795188048,0.00565551101581679,0.61917069333633,0.523828663298117,0.362025536350213,0.399560889049295,0.319505298157298,0.040959658388583,0.246267799724391,0.391470511595588,0.00787993623868387,0.256890711910755,54680,0.151,0.435,0,0,0,0,315.281434280153,1151.30809643129,2092.66259765625,0.250735726898175,1239.28571428571,331342.555058254,58530.9024205692,149258.306732006,0.176647706511102,627.915767303819,51.8086563075583,0,0,0,0,0,10.9092532908379,6.44240602897506,3.96667512249357,0,0.823352293488898
"11-11","Jutiapa","Moyuta",0.0143404623562863,0.00663664375444418,0.00247244256721953,0.003047011027278,0.00173323879303553,0.55841265916677,0.247096468357431,0.0235912228288864,0.00701173875364374,0.55841265916677,0.609504621948329,0.303492325126198,0.293456181079512,0.267391475616482,0.0143404623562863,0.162479260488267,0.34428762748532,0.003047011027278,0.282675490427795,23618,0.051,0.425,0,0,0,0,381.888233801235,284.86945689717,1657.97985839844,0.377341659232828,994.5,233984.494311622,49635.3342970153,130751.232020379,0.212130869795631,417.974259012538,74.4142500666133,14.6592759147645,0,0,0,0,10.0697644121612,6.03541984931883,4.3229962500829,2.75106345161144,0.787869130204369
"11-12","Jutiapa","Pasaco",0.0165289256198347,0.000977517106549365,0.000590667454223272,0.00382262996941896,0.00158586316266425,0.429752066115702,0.147279244053438,0.0283520378027171,0.00271862256456729,0.429752066115702,0.368849788204627,0.285292380389841,0.320081549439348,0.267331218849116,0.0165289256198347,0.483870967741935,0.407265209686946,0.00382262996941896,0.32079746261894,6170,0.002,0.419,0,0,0,0,85.8558618619216,72.5107314237847,477.201171875,0.231942215088282,864,79405.6608928957,46626.032679761,28696.1542008856,0.587187766658744,158.048811366535,71.605332529609,26.5895413052042,0,0,0,0,8.72745411689943,5.06290391801667,4.28503836995443,3.31743676269064,0.412812233341256
"11-13","Jutiapa","Quesada",0.00620003263175069,NA,0.00126015121814618,0.00472498182699297,0.00108096422008432,0.517213248490782,NA,0.0250630075609073,0.00497243541238785,0.517213248490782,NA,0.263371604592551,0.305306518051854,0.351421467949411,0.00620003263175069,NA,0.424670960515262,0.00472498182699297,0.236839260620473,9209,0.001,0.455,0,0,0,0,238.583135843428,1194.72744886666,1874.85888671875,0.355244755244755,1301.5,93180.1118505033,34140.8767673815,28135.5013259958,0.36639660641486,132.054109278,49.1728276961353,0,0,0,0,0,9.12793654572137,4.88321175736535,3.91547359919878,0,0.63360339358514
"11-14","Jutiapa","San Jose Acatempa",0.0973063973063973,0.00203458799593082,0.00135538086202223,0.00219123505976096,0.00275529533321853,0.55993265993266,0.269582909460834,0.0206017891027379,0.00585500258308938,0.55993265993266,0.344608341810783,0.197343453510436,0.449003984063745,0.427070776648872,0.0973063973063973,0.0765513733468973,0.301707779886148,0.00219123505976096,0.148958153952127,6893,0.007,0.337,0,0,0,0,182.054831173064,1282.75836535399,1844.29797363281,0.665195460277427,1149,43865.755225747,19998.1896427484,16786.7646597665,0.455895254506195,146.415691570504,45.8597802874121,0,0,0,0,0,8.83826168288565,4.98644977864217,3.8471597443664,0,0.544104745493805
"11-15","Jutiapa","Santa Catarina Mita",0.025516008451162,0.00328038674033149,0.00259882369032964,0.0084790118287449,NA,0.639200390053632,0.146754143646409,0.0233894132129668,NA,0.639200390053632,0.431975138121547,0.219532211735741,0.464356746571758,NA,0.025516008451162,0.391747237569061,0.43140473259472,0.0084790118287449,NA,15818,0.032,0.498,0,0,0,0,239.834916434396,1002.72553432777,2015.26599121094,0.377757766771724,1455.66666666667,120692.435254284,31724.183436309,62051.1971843382,0.262851465126792,205.14597362313,69.2629237031798,0.764737320370415,0,0,0,0,9.66890381107936,5.32372179219367,4.252244258599,0.568001852323825,0.737148534873208
"11-16","Jutiapa","Yupiltepeque",0.115126785193821,0.0344666977177457,0.00530503978779841,0.00543002277106323,0.00181338608638312,0.574468085106383,0.221238938053097,0.0181887078438803,0.00362677217276624,0.574468085106383,0.375174662319516,0.153656688139447,0.332807847258714,0.232937685459941,0.115126785193821,0.290405216581276,0.4759378552482,0.00543002277106323,0.468842729970326,7273,0.11,0.428,0,0,0,0,152.941893847747,970.556857120968,1437.0595703125,0.1264,1239,60259.42281813,4177.23495863777,16177.3736345732,0.0693208591002465,57.5513776962044,85.3552674909367,5.642140170045,0,0,0,0,8.89192414015454,4.05267807399872,4.45846980436432,1.89343422632191,0.930679140899753
"11-17","Jutiapa","Zapotitlan",0.00667779632721202,0.0014986886474335,0.000875401225561716,0.00228506141102542,0.00166034155597723,0.581385642737897,0.34095166729112,0.0166326232856726,0.00426944971537002,0.581385642737897,0.718621206444361,0.294134811788737,0.346472436446729,0.103415559772296,0.00667779632721202,0.201948295241664,0.338780274292384,0.00228506141102542,0.407495256166983,4982,0.004,0.415,0,0,0,0,192.374513431213,794.541670475237,1221.65466308594,0.186666666666667,NA,41406.6532133907,0,19745.0657668131,0,83.4779141005243,84.2823798214454,11.0064466465513,0,0,0,0,8.51358669582213,4.42458209507991,4.44596786600197,2.48544372608265,1
"11-2","Jutiapa","Asuncion Mita",0.0675482093663912,0.00651694405454181,0.00466119982736297,0.00549520766773163,0.00454677936461673,0.495316804407713,0.121014638058953,0.0198532585239534,0.00716992130574177,0.495316804407713,0.667034289151795,0.344497194648252,0.476741214057508,0.454153308073448,0.0675482093663912,0.158311610186485,0.276823478636167,0.00549520766773163,0.159720198192947,29071,0.029,0.499,0,0,0,0,144.045015041642,594.919718151255,1084.93969726562,0.0988218744505011,1134.5,287401.892933766,32747.444316066,148634.460255282,0.113943036288954,524.293723912635,81.8195918738768,0,0,0,0,0,10.2774963926861,6.26205206909417,4.41666465023613,0,0.886056963711046
"11-3","Jutiapa","Atescatempa",0.0228678537956888,0.00276243093922652,0.00168350168350168,0.00533962498447783,0.00223214285714286,0.596813495782568,0.316758747697974,0.0207070707070707,0.00540413533834586,0.596813495782568,0.698526703499079,0.333501683501684,0.432509623742705,0.369713345864662,0.0228678537956888,0.124125230202578,0.321212121212121,0.00533962498447783,0.198190789473684,10232,0.007,0.427,0,0,0,0,141.949896958041,763.510999276842,1337.83447265625,0.242489270386266,1135,59989.541617129,11606.5788014234,17056.9930244343,0.193476704247884,86.1994801153017,88.6643541366574,0,0,0,0,0,9.23327534325868,4.45666414650647,4.49607330030365,0,0.806523295752116
