"id","dpto","muni","URNGcia1999","URNGcia2003","URNGcia2007","URNGcia2011","URNGcia2015","FRG1999","FRG2003","FRG2007","FRG2015","UNE2003","UNE2007","UNE2015","PP2003","PP2007","PP2011","PP2015","censo1999","censo2003","censo2007","censo2011","censo2015","part1999","part2003","part2007","part2011","part2015","fulldcha1999","fulldcha2003","fulldcha2007","fulldcha2011","fulldcha2015","pop73","pop81","ind73","ind81","lit73","lit81","coop_all","coop_81","coop_81_96","coop_86_96","coop_post96","sh_prod_indig64","sh_superf_indig64","superf_by_prod64","share_arrenda64f","share_arrenda50","superf_by_prod50","superf_by_prod_change5064","change5064_share_arrenda","change5064_share_arrenda_abs","ig_evang_81","govt_ev","govt_vi","inclpac_ev","inclpac_vi","nopac_ev","nopac_vi","onlypac_ev","onlypac_vi","rebels_ev","rebels_vi","ceh_govt_ev","ceh_govt_vi","ceh_inclpac_ev","ceh_inclpac_vi","ceh_nopac_ev","ceh_nopac_vi","rebels_ev_pre78","rebels_vi_pre78","elev_sd","elev_mean","elev_max","forest","coffee_yield","roads_all","roads_paved","roads_paths","roads_paved_sh","area","dist_guate","dist_panam","govt_vi_l","inclpac_vi_l","nopac_vi_l","onlypac_vi_l","rebels_vi_l","rebels_vi_pre78_l","ceh_govt_vi_l","ceh_inclpac_vi_l","ceh_nopac_vi_l","lpop73","lpop81","larea","ldist_guate","lsuperf_by_prod_change5064","ldist_panam","compet1999","roads_dirt_sh"
"1-3","Alta Verapaz","Coban",0.130279169649248,0.0538288192525192,0.0345694917333824,0.0269273698477238,0.0455542486568967,0.577831617201696,0.20098643649815,0.18217232600227,0.00548367612931939,0.190866958629193,0.187049477009908,0.218774835489716,0.435180067179727,0.285574062145333,0.423802120704776,0.0756270464443526,37618,46586,0,79780,95249,0.482774203838588,0.504851242862663,NA,0.628879418400602,0.6605213703031,0.577831617201696,0.636166503677877,0.467746388147603,0.423802120704776,0.081110722573672,43505,42575,0.82,0.806,0.246,0.393,28,0,7,5,21,0.936595107338992,0.309583734138017,18.9438342486271,0.0202788339670469,0.0705987488829312,26.1854334226988,0.723449329359032,0.28724069884969,-0.0503199149158843,13,85,872,41,77,44,795,6,7,0,0,12,629,1,30,11,599,0,0,449.042040741735,571.399236633686,2441.87963867188,0.733567139592965,1503.28571428571,662117.858006853,58054.7264322361,437190.616759354,0.0876803513607018,1722.17204251474,79.8647758909594,82.2897376241198,3.04659995157811,1.01881537182781,2.95874467025672,0.14919646726316,0,0,2.73813367237461,0.524477557097942,2.69249872482227,10.6806311530001,10.6590225055309,7.4513415885423,4.39277832617063,-0.323724770803371,4.42232534379365,0.799696806689814,0.912319648639298
"1-6","Alta Verapaz","Lanquin",0.0932449233319519,0.0481964231585329,0.00295600765084333,0.00558867362146051,0.0028735632183908,0.475341898052217,0.270384965140952,0.0255607720396453,0.00212856534695615,0.143679903000909,0.480785950269518,0.265644955300128,0.264928766292816,0.102764736567553,0.272354694485842,0.236590038314176,4645,5650,0,10740,12072,0.519483315392896,0.583893805309735,NA,0.749720670391061,0.778330019880716,0.475341898052217,0.535313731433768,0.128325508607199,0.272354694485842,0.238718603661132,8003,8223,0.953,0.963,0.079,0.291,1,0,1,1,0,0.966374269005848,0.317562780445564,18.5716374269006,0.0103321033210332,0.00819672131147541,36.0054644808743,0.515800523466809,1.26051660516605,0.0021353820095578,1,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,248.226275984047,741.338321261975,1407.13134765625,0.99404052443385,1767.33333333333,134005.731909623,0,98899.8429359941,0,231.157393552718,106.111802432412,110.683924813986,0.318351491502867,0,0.318351491502867,0,0,0,0,0,0,8.98757175036705,9.0146903849709,5.44309883587432,4.67387317149801,-0.662035170671489,4.71567278178826,0.854001901909621,1
"1-7","Alta Verapaz","La Tinta",0.325946130242073,0.032538686741949,0.0154995226596282,0.0306222841682381,0.0380258340816468,0.374815319922718,0.112505227938101,0.200482956140843,0.0172687711542447,0.188122124634044,0.238220924355591,0.509946812184845,0.30849017147637,0.174594260684001,0.23022054603591,0.00787455964633557,17422,21691,0,39162,44572,0.505051084835266,0.551150246646074,NA,0.622899749757418,0.649600646145562,0.374815319922718,0.420995399414471,0.375077216824844,0.23022054603591,0.0251433308005802,25261,33564,0.93,0.926,0.137,0.251,10,2,8,4,2,0.904953145917001,0.201540390471073,12.4564926372155,0.161868806040585,0.0120805369127517,94.6281879194631,0.13163617428474,13.3991400555818,0.149788269127833,36,46,194,12,12,34,182,12,12,0,0,2,11,0,0,2,11,0,0,726.198038198397,782.114088796707,3005.77392578125,0.779176973240387,1637.625,282578.616288636,0,213393.710249693,0,816.8268419607,76.9433372151386,80.8477039614599,2.16100109661078,0.388685498825315,2.10471716418148,0.388685498825315,0,0,0.361481079124811,0,0.361481079124811,10.1370169834028,10.42120934299,6.7054271286522,4.35598211674011,-2.02771341728054,4.40486025163944,0.997611802299957,1
"1-9","Alta Verapaz","San Cristobal Verapaz",0.123983468870817,0.0150391644908616,0.0125224955008998,0.00960412274537362,0.00865998176845944,0.630849220103986,0.301618798955614,0.314637072585483,0.00602653702015598,0.192271540469974,0.17246550689862,0.275144333029474,0.291592689295039,0.231178764247151,0.346568282970251,0.0394510280563152,15706,17009,0,26368,28882,0.477588182860054,0.562937268504909,NA,0.647603155339806,0.683678415622187,0.630849220103986,0.593211488250653,0.545815836832633,0.346568282970251,0.0454775650764712,19340,25900,0.843,0.767,0.237,0.438,5,0,2,1,3,0.868068833652008,0.417827782331173,15.3969407265774,0.0128737541528239,0.0717745486569793,13.4253632760898,1.14685468169036,0.179363777184436,-0.0589007945041554,18,50,491,0,0,50,491,0,0,0,0,8,91,0,0,8,91,0,0,368.792783779103,1426.60623495138,2220.43090820312,0.905176260597947,1400,207072.819591531,6107.15800234573,129677.978937947,0.02949280361562,410.947688954301,71.7206014236547,67.8769712373465,3.27290168023638,0,3.27290168023638,0,0,0,1.74139101781914,0,1.74139101781914,9.86993076900728,10.1619982476876,6.01846592891232,4.28662472023732,0.137023135866575,4.23232188756946,0.743087110226835,0.97050719638438
"10-1","Jalapa","Jalapa",0,0.00177472787505916,0.077621074104034,0.0277265343208789,0.082571987422318,0.632485161896927,0.274885628648052,0.0118172545985299,0.00294634677758796,0.275280012620287,0.131607639011008,0.1773502686375,0.344533838144818,0.211479618752858,0.326165367989207,0.0066354700537275,35069,47750,0,64164,67928,0.485243377341812,0.531015706806283,NA,0.566033913097687,0.59458544341067,0.632485161896927,0.61941946679287,0.223296873351387,0.326165367989207,0.00958181683131546,45425,55093,0.406,0.148,0.417,0.527,16,0,9,7,7,0.554865938430983,0.218334038850477,10.5566037735849,0.173150684931507,0.219629723560741,14.6074055287852,0.722688485151054,0.788375462684678,-0.0464790386292337,30,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,321.325264959797,1617.55408420309,2657.5849609375,0.612368856985091,1294.5,361700.549671442,63965.3105123504,170161.390041044,0.176846041761492,668.308539865273,30.9929635122021,16.7388811209104,0.0430869015388429,0,0.0430869015388429,0,0,0,0,0,0,10.7238178932644,10.9167779453282,6.50474995292599,3.46551598837664,-0.32477701391678,2.87575890391776,0.599962519980219,0.823153958238508
"10-2","Jalapa","Mataquescuintla",0.0217391304347826,0.00111926377316254,0.00169330087839983,0.00339970859640602,0.00294867708001275,0.357586512866016,0.230817062554409,0.00582072176949942,0.00525980235894166,0.226464370103221,0.167319293046883,0.195011157156519,0.399079716453177,0.105407979680389,0.364092601586531,0.0506056742110296,10098,13536,0,19740,20515,0.446425034660329,0.594045508274232,NA,0.625835866261398,0.611650012186205,0.357586512866016,0.629896779007586,0.111228701449889,0.364092601586531,0.0558654765699713,16145,18242,0.043,0.006,0.381,0.498,1,0,0,0,1,0.0165184243964422,0.00561267804924064,13.4701397712834,0.18062015503876,0.271460014673514,16.0425531914894,0.839650622347901,0.665365598156296,-0.0908398596347546,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.19637106176,1803.02903011618,2692.3720703125,0.895099230457675,1119.33333333333,117209.357622772,6002.34031787634,72110.9776529893,0.051210419028098,226.905638837093,23.0690356111934,19.261562671006,0,0,0,0,0,0,0,0,0,9.68936568319238,9.8114819067401,5.4245342431169,3.18092618498456,-0.174769399442203,3.00872562669537,0.887206535714089,0.948789580971902
"10-3","Jalapa","Monjas",0.00852003786683496,0.00056140350877193,0.00189080595603876,0.00453047775947282,0.00198823626874327,0.338434837488167,0.189052631578947,0.00496336563460175,0.00497059067185817,0.0891228070175439,0.0879224769558024,0.0612211084417198,0.609684210526316,0.108957693216734,0.357598846787479,0.104216717753293,11506,12613,0,16464,17209,0.55084303841474,0.564893363989535,NA,0.589893100097182,0.701435295484921,0.338434837488167,0.798736842105263,0.113921058851335,0.357598846787479,0.109187308425151,10831,13339,0.165,0.098,0.496,0.565,1,1,1,0,0,0.100811123986095,0.0161350286266637,15.5840092699884,0.335135135135135,0.479674796747967,14.3929539295393,1.08275266816527,0.698671552908841,-0.144539661612832,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.177031764254,1078.74375786615,1651.71520996094,0.141255605381166,1379,107605.3147269,26433.2325815099,30786.7897613924,0.245649879363271,164.333986588363,56.312280636572,11.3023101060831,0,0,0,0,0,0,0,0,0,9.29016767183574,9.49844735414104,5.10190086054942,4.04851492251225,0.0795065653582492,2.50978705824632,0.891156224990817,0.754350120636729
"10-4","Jalapa","San Carlos Alzatate",0.00737018425460636,0.00578034682080925,0.000910332271279017,0.00858369098712446,0.00296296296296296,0.471021775544389,0.194926140012845,0.00819299044151115,0.000673400673400673,0.364482980089917,0.309740555302685,0.27003367003367,0.258509955041747,0.126081019572144,0.359084406294707,0.118922558922559,4251,5327,0,8012,9339,0.702187720536344,0.584569175896377,NA,0.436220668996505,0.795053003533569,0.471021775544389,0.453436095054592,0.134274010013655,0.359084406294707,0.11959595959596,4480,5546,0.723,0.777,0.473,0.567,4,0,1,1,3,0.828519855595668,0.827668845315904,8.28519855595668,0.0640776699029126,0.0847826086956522,9.04347826086956,0.916151763399056,0.755787901418969,-0.0207049387927395,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.019888064014,1901.82908251235,2490.95239257812,0.669354838709677,NA,41755.0165314191,5745.02834790222,24341.0158297773,0.137588937213791,68.3280623981128,40.7089253660713,18.4775399137804,0,0,0,0,0,0,0,0,0,8.40737832540903,8.62083222617572,4.22432055185782,3.73071514345765,-0.0875732474648612,2.9692620024458,0.785027201894453,0.862411062786209
"10-5","Jalapa","San Luis Jilotepeque",0.058542216358839,0.00730994152046784,0.00321702548874041,0.00675057208237986,0.0210388476647752,0.351583113456464,0.310473152578416,0.00878495421925266,0.00427760803142732,0.118421052631579,0.314897302647859,0.278131820165866,0.415470494417863,0.100593912397921,0.41304347826087,0.0024443474465299,10254,11843,0,15022,15385,0.591378974058904,0.635311998648991,NA,0.58181334043403,0.744556386090348,0.351583113456464,0.725943646996279,0.109378866617174,0.41304347826087,0.00672195547795722,12396,12660,0.614,0.658,0.278,0.457,2,0,2,2,0,0.58864118895966,0.310485787622398,5.58333333333333,0.519262981574539,0.537878787878788,7.02272727272727,0.795037756202805,0.965390331941397,-0.0186158063042485,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.594979439371,888.451030592225,1619.0595703125,0.361763494025546,1742.5,128254.095796135,8933.73063122828,72053.0769911927,0.0696564938201179,223.077651794033,75.8468166270558,19.0240031604612,0,0,0,0,0,0,0,0,0,9.42512911890764,9.44620269569817,5.4075199251706,4.34181404592633,-0.229365673376519,2.99693171196312,0.914127032628219,0.930343506179882
"10-6","Jalapa","San Manuel Chaparron",0.0206593406593407,0.00170473917490624,0.0012001200120012,0.00202994163917787,0.00290768112430337,0.708571428571429,0.37981588816911,0.0042004200420042,0.00290768112430337,0.109785202863962,0.036003600360036,0.194330021807608,0.467780429594272,0.374737473747375,0.482364882009642,0.0983765447055973,4100,4712,0,6202,5957,0.554878048780488,0.622453310696095,NA,0.635440180586907,0.692798388450562,0.708571428571429,0.847596317763382,0.378937893789379,0.482364882009642,0.101284225829901,4951,5167,0.175,0.165,0.559,0.612,1,0,0,0,1,0.118037135278515,0.0373940760320299,17.0596816976127,0.616692426584235,0.321533923303835,27.4660766961652,0.621118257490142,1.91797002396381,0.2951585032804,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.354037429544,978.242209240697,1427.54699707031,0.203065134099617,1630,58817.8977118782,0,27055.8447459903,0,120.377339198177,69.6161903315877,12.4144873993416,0,0,0,0,0,0,0,0,0,8.50734485536142,8.55004752828718,4.79063130252077,4.25725944301831,-0.47623378443732,2.59633527214057,0.526776959304432,1
