"id","muni","dpto","elev_sd","elev_mean","elev_max","forest","coffee_yield","roads_all","roads_paved","roads_paths","roads_paved_sh","area","dist_guate","dist_panam"
"13-22","San Miguel Siguila","Quetzaltenango",183.169658691182,2606.49869482778,3086.84228515625,0.203703703703704,NA,11459.7275049679,0,5062.4093814646,0,14.7894309390963,121.779980825644,12.2288405163735
"13-23","Sibilia","Quetzaltenango",104.851748751016,2825.27672765539,3116.05712890625,0.0406852248394004,0,61438.2891401074,0,51144.2052781263,0,43.1696253791733,126.612622790277,10.5007792048644
"13-24","Zunil","Quetzaltenango",500.496449427986,2196.2581828623,3531.30981445312,0.674744897959184,NA,38258.2571814557,27114.3705418567,11143.8866395991,0.708719438349098,71.8908655209156,104.813720244143,8.77598109729624
"13-3","Cajola","Quetzaltenango",150.91046171173,2668.67048848231,3162.22607421875,0.288288288288288,NA,25998.0411380986,0,14001.7920418418,0,20.7697814981421,121.779980825644,10.8029846299658
"13-4","Cantel","Quetzaltenango",295.989233322631,2614.23778046335,3343.05078125,0.317604355716878,0,47855.4513664635,9783.89707859421,38071.5542878693,0.204446866537145,50.9182212230852,101.599938074039,1.28846252075696
"13-5","Coatepeque","Quetzaltenango",152.522122135586,139.341042938432,719.283508300781,0.116481602438493,856.666666666667,263176.442732939,58792.410668613,110392.354241935,0.223395415099038,421.631370512125,142.754592026044,45.3910448343381
"13-6","Colomba Costa Cuca","Quetzaltenango",344.086796214181,909.888774349473,2405.73291015625,0.880112834978843,1149,205645.820906171,36935.4003070087,142112.377305697,0.179606860690162,195.657342542956,128.502221492315,30.2891804187553
"13-7","Concepcion Chiquirichapa","Quetzaltenango",175.961123729198,2814.44400687576,3252.06274414062,0.305084745762712,NA,13068.0699167114,6519.21683965936,5959.71863401019,0.498866082077096,21.7303873999012,121.800935311521,18.1833112629573
"13-8","El Palmar","Quetzaltenango",436.347742015724,1136.47738738394,2808.79931640625,0.744120940649496,1149,101890.514972708,17036.7853102686,69516.5018829326,0.1672067838192,164.877708792366,113.722297511964,19.5454975457134
"13-9","Flores Costa Cuca","Quetzaltenango",148.383560642979,311.127042013828,710.155212402344,0.360810810810811,943,63841.6521032266,5599.87434760838,29653.4174474017,0.0877150600450291,68.2572152552687,142.591719623399,46.1079294835331
"14-1","Canilla","Quiche",178.021177333699,1259.73100113128,1978.09777832031,0.18232044198895,1175,70319.6761368766,0,57653.6708106766,0,99.8333099516818,67.3352002152838,35.1343202839149
"14-10","Nebaj","Quiche",583.46756420163,1958.66007846297,11093.732421875,0.878654801802843,693.5,399984.457828552,0,281953.702736444,0,792.731703132931,110.167107940026,24.6453715551931
"14-12","Patzite","Quiche",114.472212103561,2169.64561546921,2478.36865234375,0.195439739413681,1184,49897.4941464993,9906.02211044461,17380.6039910192,0.198527446716271,56.2903785052146,80.2569655480674,9.75555158438032
"14-13","Sacapulas","Quiche",257.225818986239,1565.2867942191,2448.94360351562,0.195821185617104,1145.66666666667,224485.960363654,15148.4014786155,150045.523805408,0.0674803958968125,377.162891352405,83.7777918096491,15.4858845405523
"14-14","San Andres Sajcabaja","Quiche",332.07761870733,1484.61976033223,2329.54174804688,0.26266318537859,1205,112848.40672924,0,85314.4688859917,0,175.662866534184,73.6359198044699,27.2847877376572
"14-15","San Antonio Ilotenango","Quiche",84.4720136096928,1980.75403861812,2297.95678710938,0.0809141445336628,1199,135793.32499971,43817.7021845823,25000.3845137431,0.322679352498924,148.767118062306,81.8980189235462,15.4011654098199
"14-16","San Bartolome Jocotenango","Quiche",175.969590597682,1572.02125632955,2116.90454101562,0.343832020997375,1165.5,83866.0662719347,0,68895.1220879555,0,104.807107197479,78.1584537549211,30.3429381606452
"14-17","San Juan Cotzal","Quiche",357.326138416073,1930.93570505574,2995.94165039062,0.957081545064378,645.5,128961.471171506,0,93181.5699788989,0,170.979108499111,96.8603107679311,34.5714744929166
"14-18","San Pedro Jocopilas","Quiche",190.912002308088,1928.90638928447,2557.85815429688,0.324182242990654,1184.4,181477.566638029,24035.0311801203,104903.512701226,0.132440783868676,314.158571195824,75.4864925658004,17.2753937017207
"14-19","Santa Cruz del Quiche","Quiche",157.420802505425,2149.14727117386,2612.19287109375,0.469721767594108,1236,105910.160589574,27676.332679222,62415.1336673591,0.261318956794655,112.147974918302,77.3180848480261,9.56332773427206
"14-2","Chajul","Quiche",615.780694566495,1205.80588053529,2669.50756835938,0.843256239981681,1227.45454545455,175628.793474744,0,93107.9559731956,0,799.082752920289,102.811023559786,40.1499231323991
"14-20","Chicaman","Quiche",672.327275258589,792.45071773753,2735.08154296875,0.620579974960241,1275.36111111111,785404.033300434,0,403310.900649052,0,2708.07341791156,63.4488392398929,47.0470269422998
"14-21","Zacualpa","Quiche",285.303409805485,1834.02834657089,2493.7900390625,0.737062404870624,1215,113084.402584702,6280.01539098791,88771.4281717971,0.0555338777713762,242.008414048673,57.423356324961,21.2850193564895
"14-4","Chiche","Quiche",96.2978954389471,1954.03150356408,2202.76391601562,0.313232830820771,1247,86868.5968189051,25396.6620392916,26906.6882148481,0.292357226538792,109.296990454503,65.6864373171592,10.7510775457478
"14-5","Santo Tomas Chichicastenango","Quiche",244.828658092156,2225.12447364119,2857.20043945312,0.610285714285714,748.666666666667,130253.178444981,28795.6422480509,62789.9055581936,0.221074392132505,241.325622232718,62.4084235853536,0
"14-6","Chinique","Quiche",150.495592323704,2094.54355506499,2430.61401367188,0.830903790087464,NA,56337.3044232715,14006.8093347939,37292.5793966178,0.248624059638324,63.2767142750767,69.8982927445916,18.3205216950368
"14-7","Cunen","Quiche",335.35413643712,2286.25638292042,3002.35571289062,0.768045417680454,550,161410.208911215,0,135996.135015449,0,226.206771918945,89.8359396606028,30.8471413491666
"14-9","Joyabaj","Quiche",290.507237592174,1559.28329622024,2391.29370117188,0.530232558139535,1153,210219.414112708,52566.5170629557,110526.619235927,0.250055482671892,474.440909124052,31.7388982484933,9.52150414100292
"15-1","Champerico","Retalhuleu",14.3903613148947,23.8768955898082,67.7900161743164,0.0208162147356889,768,151478.163951168,18100.8143647429,101414.614658735,0.119494545567492,335.576672968968,143.778525098272,64.8364671547332
"15-2","El Asintal","Retalhuleu",165.610003114996,279.92431859379,743.669189453125,0.485436893203884,NA,81013.4246762454,13119.8531061191,52424.5343106118,0.16194665462607,94.8323383566509,133.298628061794,39.3309122468615
"15-3","Nuevo San Carlos","Retalhuleu",232.799590681875,536.276213685335,1286.59106445312,0.701161562829989,1009,84136.996519086,16805.6821260484,49950.4396389183,0.199741883135038,87.0351198130716,126.767371264759,31.5496465810055
"15-4","Retalhuleu","Retalhuleu",58.7429453352837,58.9110511294221,330.995269775391,0.0803870043000478,803.5,358372.694910192,47125.3185978747,212848.119988786,0.131498072445738,774.925477573875,127.726941714979,40.0558004072308
"15-5","San Andres Villa Seca","Retalhuleu",100.657713596384,81.1923877297676,728.75634765625,0.0689655172413793,802,127483.507181171,21345.0041826445,70015.6018377419,0.167433455939602,432.36336999735,116.948922424799,29.888432553657
