"day","month","year","canton","muni","department","MUNID","military","victims","notes","reference","X","X.1","id"
15,2,1981,"El tablon","San Antonio Huista","Huehuetenango",216,"Y",7,"","Casos Presentados Anexo II Tomo IX",NA,"","8-13"
NA,NA,1981,"Papul de Acutel","San Ildefonso Ixtahuacan","Huehuetenango",201,"Y",20,"","Casos Presentados Anexo II Tomo IX",NA,"","8-15"
NA,NA,1980,"La Cubre Papal","San Ildefonso Ixtahuacan","Huehuetenango",201,"Y",19,"","Casos Presentados Anexo II Tomo IX",NA,"","8-15"
12,7,1982,"Cabeb","San Mateo Ixtatan","Huehuetenango",210,"Y",54,"","Casos Presentados Anexo II Tomo IX",1,"","8-18"
31,5,1981,"","San Mateo Ixtatan","Huehuetenango",210,"Y",55,"","Casos Presentados Anexo II Tomo IX",1,"","8-18"
15,7,1982,"Balej","San Mateo Ixtatan","Huehuetenango",210,"Y",5,"","Casos Presentados Anexo II Tomo IX",NA,"","8-18"
12,9,1982,"","San Mateo Ixtatan","Huehuetenango",210,"Y",6,"","Casos Presentados Anexo II Tomo IX",2,"","8-18"
21,7,1982,"Balej","San Mateo Ixtatan","Huehuetenango",210,"Y",7,"","Casos Presentados Anexo II Tomo IX",NA,"","8-18"
15,7,1982,"","San Mateo Ixtatan","Huehuetenango",210,"Y",83,"","Casos Presentados Anexo II Tomo IX",NA,"","8-18"
16,6,1982,"Xeguel","San Mateo Ixtatan","Huehuetenango",210,"Y",NA,"","Casos Presentados Anexo II Tomo IX",2,"","8-18"
22,6,1982,"El Poblado","San Mateo Ixtatan","Huehuetenango",210,"Y",20,"","Casos Presentados Anexo II Tomo IX",NA,"","8-18"
NA,12,1982,"Barillian","San Mateo Ixtatan","Huehuetenango",210,"Y",54,"","Casos Presentados Anexo II Tomo IX",2,"","8-18"
13,7,1982,"Yoculac","San Mateo Ixtatan","Huehuetenango",210,"Y",13,"","Casos Presentados Anexo II Tomo IX",NA,"","8-18"
NA,8,1982,"Yaca","San Mateo Ixtatan","Huehuetenango",210,"Y",6,"","Casos Presentados Anexo II Tomo IX",NA,"","8-18"
25,7,1982,"","San Miguel Acatan","Huehuetenango",205,"Y",7,"","Casos Presentados Anexo II Tomo IX",NA,"","8-19"
4,8,1982,"Chimbian","San Miguel Acatan","Huehuetenango",205,"Y",56,"","Casos Presentados Anexo II Tomo IX",NA,"","8-19"
NA,NA,1980,"Xocol","San Miguel Acatan","Huehuetenango",205,"Y",10,"","Casos Presentados Anexo II Tomo IX",NA,"","8-19"
2,8,1982,"Ixmil","San Pedro Necta","Huehuetenango",198,"Y",14,"","Casos Presentados Anexo II Tomo IX",NA,"","8-20"
NA,10,1982,"Lajcholaj","San Rafael La Independencia","Huehuetenango",206,"Y",56,"","Casos Presentados Anexo II Tomo IX",1,"","8-22"
30,8,1981,"Ixcanac","San Rafael La Independencia","Huehuetenango",206,"Y",5,"","Casos Presentados Anexo II Tomo IX",NA,"","8-22"
10,1,1982,"Agua Escondida","Santa Ana Huista","Huehuetenango",223,"Y",13,"","Casos Presentados Anexo II Tomo IX",1,"","8-26"
10,5,1982,"Agua Escondida","Santa Ana Huista","Huehuetenango",223,"Y",14,"","Casos Presentados Anexo II Tomo IX",2,"","8-26"
NA,NA,1982,"","Santa Ana Huista","Huehuetenango",223,"Y",8,"","Casos Presentados Anexo II Tomo IX",NA,"","8-26"
NA,NA,1980,"Aldea Buena vista","Santa Ana Huista","Huehuetenango",223,"Y",10,"","Casos Presentados Anexo II Tomo IX",NA,"","8-26"
14,1,1981,"","Santa Ana Huista","Huehuetenango",223,"Y",14,"","Casos Presentados Anexo II Tomo IX",NA,"","8-26"
NA,NA,1982,"Bara Vista","Santa Ana Huista","Huehuetenango",223,"Y",10,"","Casos Presentados Anexo II Tomo IX",2,"","8-26"
10,2,1982,"Cruz Quamala","Santa Barbara","Huehuetenango",202,"Mil and Pac",11,"","Casos Presentados Anexo II Tomo IX",NA,"","8-27"
NA,9,1983,"","Santa Eulalia","Huehuetenango",209,"Y",6,"","Casos Presentados Anexo II Tomo IX",1,"","8-29"
13,3,1982,"Molona","Santa Eulalia","Huehuetenango",209,"Y",6,"","Casos Presentados Anexo II Tomo IX",NA,"","8-29"
15,3,1982,"","Todos Santos Cuchumatan","Huehuetenango",207,"Y",NA,"","Casos Presentados Anexo II Tomo IX",NA,"","8-32"
23,3,1982,"El Rancho","Todos Santos Cuchumatan","Huehuetenango",207,"Y",18,"","Casos Presentados Anexo II Tomo IX",NA,"","8-32"
17,7,1982,"La Majadas","Aguacatan","Huehuetenango",219,"Y",18,"One family","Casos Presentados Anexo II Tomo X",2,"","8-1"
