"n_mon","n_year","n_rgim","n_type","p_civ","p_arm","p_pac","p_pol","p_par","p_urn","c_tot","id"
1,1973,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"17-6"
9,1967,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,4,"14-5"
2,1975,"Kjell Eugenio Laugerud Garcia","killed",0,0,0,0,0,0,2,"7-16"
1,1975,"Kjell Eugenio Laugerud Garcia","killed",0,0,0,0,0,0,1,"7-4"
1,1975,"Kjell Eugenio Laugerud Garcia","killed",0,0,0,0,0,0,1,"7-4"
8,1967,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"17-6"
8,1967,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,3,"6-4"
1,1975,"Kjell Eugenio Laugerud Garcia","kidnap",0,0,0,0,0,0,1,"7-4"
1,1975,"Kjell Eugenio Laugerud Garcia","killed",0,0,0,0,0,0,1,"7-4"
6,1975,"Kjell Eugenio Laugerud Garcia","killed",0,0,0,0,0,0,1,"17-12"
1,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"7-7"
1,1994,"Ramiro de Leon Carpio","kidnap",0,0,0,0,0,0,1,"3-2"
1,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"7-4"
1,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"18-3"
2,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"7-4"
2,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"7-6"
2,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"7-4"
2,1994,"Ramiro de Leon Carpio","injured",0,0,0,0,0,0,1,"7-6"
2,1994,"Ramiro de Leon Carpio","kidnap",0,0,0,0,0,0,1,"7-6"
2,1994,"Ramiro de Leon Carpio","tortured",0,0,0,0,0,0,1,"7-6"
4,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"7-6"
4,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"4-4"
5,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"17-11"
5,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"7-4"
5,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"7-4"
5,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"12-12"
5,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"7-16"
5,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"7-16"
5,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"7-4"
5,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"7-4"
5,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"7-11"
6,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,2,"7-4"
2,1973,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"7-4"
2,1973,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"17-1"
2,1973,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"17-1"
2,1973,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"7-16"
1,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"18-8"
1,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"20-2"
1,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"20-2"
2,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"17-21"
2,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"3-2"
2,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"17-25"
3,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"18-8"
3,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"18-4"
3,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"19-11"
4,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"18-14"
4,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"18-3"
4,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"7-16"
4,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"7-16"
4,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"7-16"
4,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"17-11"
5,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"7-6"
5,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"7-4"
5,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"7-4"
5,1993,"Jorge Serrano Elias","kidnap",0,0,0,0,0,0,1,"7-4"
